estimator,"a,a","a,t0","a,v","a,z","t0,a","t0,t0","t0,v","t0,z","v,a","v,t0","v,v","v,z","z,a","z,t0","z,v","z,z"
misspecification-robust,0.01113207383717174,-0.4699143784527982,0.06968564565407291,0.14364318719878624,-0.4699143784527981,0.003234681998230865,-0.3153194403319442,0.5191370702746133,0.06968564565407323,-0.31531944033194426,0.08969667149581789,-0.6417775179270433,0.14364318719878635,0.5191370702746133,-0.6417775179270433,0.02870637471275226
autocorrelation-robust,0.011447294922361767,-0.48169876773473586,0.0650717621926819,0.1975175312119963,-0.4816987677347357,0.0032822983254502374,-0.35369915418073317,0.5184302116808159,0.06507176219268204,-0.3536991541807332,0.0918710612627942,-0.6503915171599997,0.19751753121199642,0.5184302116808162,-0.6503915171599997,0.02982103412273301
sample-hessian,0.010259743516826137,-0.45910577202876574,0.16890522629406826,0.09781019747188817,-0.45910577202876607,0.00239889351680142,-0.35155680873741296,0.524597640937477,0.1689052262940686,-0.35155680873741324,0.08642799232004618,-0.6044815139252709,0.09781019747188796,0.5245976409374774,-0.604481513925271,0.026498333280494352
outer-product,0.011090761149363337,-0.5875027666143867,0.3176027915368515,-0.04877418632543761,-0.5875027666143866,0.0024955081674747806,-0.39173200389645657,0.5370701764333267,0.3176027915368514,-0.39173200389645674,0.0772026099754351,-0.54911845011534,-0.04877418632543756,0.5370701764333268,-0.5491184501153399,0.024603522411309142
misspecification-robust,0.009632367099659596,-0.30585641330639163,0.017805633424024647,0.24547311504105654,-0.30585641330639207,0.0023466403821668573,-0.33740194775219223,0.5276080026826288,0.017805633424025243,-0.3374019477521927,0.09845108731916617,-0.6656905643306053,0.24547311504105623,0.5276080026826295,-0.6656905643306055,0.029121477049392358
autocorrelation-robust,0.010372361037488493,-0.2759774694612079,-0.0016830159134526375,0.3021549273127472,-0.2759774694612086,0.0022989582091300685,-0.38415208446532473,0.5221254827511458,-0.0016830159134520338,-0.38415208446532545,0.10613051137598983,-0.697750828772503,0.3021549273127467,0.522125482751147,-0.6977508287725032,0.029364884781272915
sample-hessian,0.010598942160743571,-0.5087906502555024,0.20690065431464116,0.05766865476778251,-0.5087906502555025,0.0026439463623262297,-0.32770816533750013,0.4927299528275602,0.20690065431464125,-0.3277081653375003,0.08273051073213257,-0.5906043075435922,0.05766865476778246,0.4927299528275604,-0.590604307543592,0.0256382552687979
outer-product,0.010355392361160093,-0.5832760329977623,0.3767057281121099,-0.10560373580693627,-0.5832760329977622,0.002373444337482486,-0.3875610881402218,0.4809537089455462,0.3767057281121099,-0.3875610881402218,0.080123978267669,-0.5871294852745402,-0.1056037358069363,0.4809537089455462,-0.5871294852745403,0.023468652441896748
misspecification-robust,0.011067083340419588,-0.43184931754479855,0.025257884789819274,0.20971234189572374,-0.4318493175447988,0.0029809546622633384,-0.2839394756528624,0.5148189926668749,0.025257884789819555,-0.28393947565286276,0.08707890980286322,-0.6085980175619861,0.2097123418957236,0.5148189926668754,-0.608598017561986,0.02872912104519195
autocorrelation-robust,0.010563827759815235,-0.43930823007647285,0.08864170409822318,0.1363975346262588,-0.43930823007647296,0.0030614582439169036,-0.2927840245439245,0.5334964879123181,0.08864170409822338,-0.29278402454392477,0.08877648965507112,-0.6095193617201402,0.13639753462625867,0.5334964879123185,-0.6095193617201399,0.027791352506377105
sample-hessian,0.01066953476526595,-0.5620808707394765,0.20042278533971833,0.07612895477576864,-0.5620808707394765,0.002721324693786341,-0.24726269770175002,0.3715206421268488,0.20042278533971855,-0.24726269770175016,0.08051451220073004,-0.568084322628236,0.07612895477576861,0.3715206421268489,-0.5680843226282359,0.024251660207124163
outer-product,0.010971698125364224,-0.6796535886085802,0.3864399330042804,0.030176008379882487,-0.6796535886085803,0.002570663000740333,-0.21408024795694622,-0.015373290245856897,0.38643993300428053,-0.21408024795694633,0.07429719108878634,-0.5038487119933115,0.030176008379882387,-0.01537329024585678,-0.5038487119933115,0.020170447807850125
misspecification-robust,0.01060502149987812,-0.3781230960810662,-0.01841959826294342,0.16097481381261688,-0.3781230960810662,0.003229740616012133,-0.3331660515923766,0.6632693012760834,-0.018419598262942892,-0.333166051592377,0.09197103321793976,-0.6452685601221732,0.1609748138126168,0.6632693012760836,-0.6452685601221729,0.03263041141237417
autocorrelation-robust,0.01004530582449941,-0.3055071508883524,0.02146533362682522,0.18492788405200125,-0.3055071508883524,0.0031008817235438093,-0.36900297639262963,0.6635485731510019,0.021465333626825553,-0.36900297639263,0.09373553503967859,-0.6694909747167189,0.18492788405200122,0.6635485731510021,-0.6694909747167189,0.03501457241432737
sample-hessian,0.010519784354565754,-0.5274459507332395,0.21953159841254252,0.011854211433264924,-0.5274459507332399,0.002753019728767523,-0.3578379541659319,0.5350862467808076,0.21953159841254247,-0.35783795416593167,0.08363364262605846,-0.6021370518916472,0.011854211433264709,0.5350862467808075,-0.6021370518916471,0.026084080108869014
outer-product,0.010725324187425625,-0.6257738836301068,0.3846966384864171,-0.10160597691743045,-0.6257738836301069,0.002839498006147535,-0.3725927526528832,0.45189253013411257,0.3846966384864173,-0.37259275265288316,0.07787485935171774,-0.5591832540795497,-0.1016059769174307,0.4518925301341127,-0.5591832540795499,0.022732268205894968
misspecification-robust,0.010504175133140429,-0.3992328154135393,0.03597644014969401,0.1395310738855661,-0.39923281541353994,0.0027341458695882698,-0.363613844243554,0.6161256635146085,0.035976440149693846,-0.36361384424355364,0.09189587431010572,-0.6511140233385668,0.13953107388556565,0.6161256635146083,-0.6511140233385666,0.030328705325129764
autocorrelation-robust,0.010612191181289388,-0.3489830004350943,0.12192293714831247,0.14319899962416283,-0.34898300043509506,0.002772846600660797,-0.41896853579485815,0.628070622778501,0.12192293714831248,-0.4189685357948579,0.09195829598678985,-0.6202161539244658,0.1431989996241623,0.6280706227785009,-0.6202161539244657,0.030960920472920594
sample-hessian,0.010819099359027548,-0.43023204976555485,0.18181281141125288,0.11094298193775982,-0.43023204976555457,0.002475837829819236,-0.3862298944240364,0.5628792872480428,0.1818128114112527,-0.3862298944240364,0.08787864261228104,-0.6150007856356399,0.11094298193776,0.5628792872480427,-0.6150007856356399,0.027712873649705712
outer-product,0.011348839941664553,-0.41615127548998787,0.20951580030318612,0.08903160468862135,-0.41615127548998765,0.0024963503045655326,-0.4490226655572569,0.6576164312405064,0.20951580030318606,-0.4490226655572571,0.08189992324766066,-0.598530458204584,0.0890316046886217,0.6576164312405064,-0.5985304582045837,0.03014956912451268
misspecification-robust,0.010347219213518572,-0.4481313673133609,0.1554538264053631,0.13218014841087813,-0.4481313673133604,0.0025231256151600806,-0.32674039957525086,0.4571947399602942,0.15545382640536284,-0.3267403995752509,0.09496474600333717,-0.6467777382312053,0.1321801484108785,0.45719473996029414,-0.6467777382312055,0.0258530782891018
autocorrelation-robust,0.010384613753801019,-0.44158940295692445,0.25104150239895145,0.01644545252075731,-0.4415894029569235,0.002667825861134189,-0.42569402315291904,0.5307154195400327,0.251041502398951,-0.4256940231529192,0.10675300896056882,-0.728617201372112,0.016445452520757745,0.5307154195400324,-0.728617201372112,0.027834167306145657
sample-hessian,0.009785420910805719,-0.49994551455960684,0.16056308154837332,0.07028979019628713,-0.49994551455960673,0.002464214949511986,-0.29466237583179344,0.4586960320496669,0.16056308154837312,-0.29466237583179317,0.0809996980332237,-0.586159046874704,0.07028979019628738,0.4586960320496667,-0.5861590468747042,0.02475401473322884
outer-product,0.01030247959810404,-0.6226649999206706,0.3340213869961494,-0.08638935366491293,-0.6226649999206707,0.0024039752203620095,-0.33695843687244575,0.4036111711704423,0.3340213869961496,-0.33695843687244587,0.07499530194028607,-0.5498765620902365,-0.08638935366491307,0.4036111711704425,-0.5498765620902364,0.02198191150874585
misspecification-robust,0.009464976028257339,-0.34613002214579863,-0.027037568898508783,0.23291548149227928,-0.3461300221457984,0.002584412062587533,-0.2826644630924476,0.5265367985732141,-0.027037568898509227,-0.2826644630924469,0.08952067880979575,-0.6323576603945871,0.23291548149227978,0.5265367985732138,-0.6323576603945876,0.028550114570437775
autocorrelation-robust,0.009248641714485127,-0.32333025368386964,0.042431429905196896,0.16771280527393706,-0.32333025368386925,0.0026485064264909763,-0.3831868539398062,0.606982829037748,0.04243142990519656,-0.3831868539398056,0.08941670972352894,-0.6999120395391035,0.16771280527393753,0.6069828290377476,-0.6999120395391039,0.030547250520680212
sample-hessian,0.009876149138371601,-0.5065832412152673,0.1567319262557269,0.11164806908042753,-0.5065832412152675,0.002329786429433405,-0.24765617664403902,0.3837960822033266,0.1567319262557269,-0.24765617664403905,0.08089924010963954,-0.5676642505775212,0.11164806908042746,0.38379608220332684,-0.5676642505775213,0.023867872231525887
outer-product,0.009646147597686894,-0.6108226515166776,0.2839366823611388,0.13276722356109935,-0.6108226515166776,0.0016913540858745416,-0.11459969294422838,-0.1257689471797935,0.2839366823611387,-0.11459969294422834,0.07435713164904388,-0.4939056177415338,0.13276722356109932,-0.1257689471797935,-0.4939056177415338,0.020029640983878837
misspecification-robust,0.010257386049003408,-0.4168336305785913,0.05837106115950156,0.03128282210379937,-0.41683363057859163,0.0036467316212966125,-0.44837170744520505,0.7459386546158828,0.058371061159501546,-0.4483717074452051,0.09491913087251752,-0.6798393364194742,0.03128282210379912,0.7459386546158832,-0.6798393364194744,0.03463829810423128
autocorrelation-robust,0.009911920346763891,-0.4038515941762002,0.029845830549764057,0.04958423595201849,-0.4038515941762008,0.003617310835590881,-0.4455427020589052,0.7531241174590723,0.029845830549764182,-0.44554270205890534,0.09177473360272546,-0.6871359522459513,0.04958423595201811,0.7531241174590726,-0.6871359522459514,0.03346155161301916
sample-hessian,0.010719457181053842,-0.42641922475161403,0.14561628719580644,0.13307906568472883,-0.4264192247516138,0.002500650549715623,-0.3590789295309103,0.5390668505075822,0.14561628719580627,-0.35907892953091003,0.08213092058678546,-0.5973384289211268,0.13307906568472905,0.5390668505075819,-0.5973384289211268,0.026092543075909143
outer-product,0.010746756657967486,-0.5186319388936983,0.33960727796814155,-0.044728688631005986,-0.5186319388936983,0.002380082321736885,-0.42425390805946517,0.5793883762605319,0.33960727796814166,-0.424253908059465,0.0746978503243174,-0.5605996403971969,-0.04472868863100599,0.5793883762605317,-0.560599640397197,0.02441904922936417
misspecification-robust,0.010940711201849364,-0.3323285454273038,-0.0558807972607213,0.30860822577309316,-0.3323285454273035,0.00266233130277965,-0.3088742651966557,0.5064561068255843,-0.055880797260721565,-0.308874265196655,0.09251389699847291,-0.6482383184945882,0.3086082257730937,0.5064561068255834,-0.6482383184945882,0.028609349517912545
autocorrelation-robust,0.010908394502707,-0.36483605849568995,-0.06766828128012013,0.30035562042575875,-0.36483605849568956,0.0024764904578618904,-0.24151975161090947,0.4576783841802127,-0.06766828128012044,-0.24151975161090872,0.0946536762903186,-0.6256022330887429,0.300355620425759,0.4576783841802121,-0.6256022330887431,0.027706217340477034
sample-hessian,0.01045852563231214,-0.4880009273111653,0.1955530876561676,0.06946235325689368,-0.48800092731116523,0.002579330872088637,-0.32457736939457565,0.4915762581355238,0.19555308765616747,-0.32457736939457554,0.08196717744144537,-0.5924344542789901,0.06946235325689377,0.4915762581355235,-0.5924344542789899,0.025660630041333166
outer-product,0.009983555111122581,-0.5192267375588234,0.3564744073420772,-0.06192253253061047,-0.5192267375588235,0.0021089721618587185,-0.3902255038868207,0.513891231421471,0.35647440734207714,-0.3902255038868207,0.07736119686836739,-0.574886179274007,-0.061922532530610315,0.513891231421471,-0.574886179274007,0.024045488389931174
misspecification-robust,0.011243022103064817,-0.48132191572056837,0.035220874193951736,0.17548737082669796,-0.48132191572056815,0.0032070722986396205,-0.2780198229056627,0.4886045908809966,0.035220874193951375,-0.27801982290566246,0.08845709906740509,-0.6219799500574005,0.1754873708266981,0.48860459088099617,-0.6219799500574,0.028078472172334428
autocorrelation-robust,0.011678176498401185,-0.5244232169105428,0.16246726639516823,0.10469892148748929,-0.5244232169105426,0.003224880334765635,-0.34271804461657707,0.5293862998184388,0.16246726639516793,-0.34271804461657684,0.09223464348254706,-0.6126857197937168,0.10469892148748967,0.529386299818438,-0.6126857197937161,0.027985700437096906
