estimator,"a,a","a,t0","a,beta_v","a,z","t0,a","t0,t0","t0,beta_v","t0,z","beta_v,a","beta_v,t0","beta_v,beta_v","beta_v,z","z,a","z,t0","z,beta_v","z,z"
outer-product,0.012977218231391306,-0.5842602037176865,0.31393165458891364,0.06278242905968416,-0.5842602037176865,0.0024853662217121848,-0.24843357804878993,0.3905383744640482,0.3139316545889136,-0.24843357804878982,0.037061763193657185,-0.4982176699708967,0.06278242905968429,0.3905383744640482,-0.49821766997089684,0.023474074303995958
misspecification-robust,0.012454589369573976,-0.5062087625267391,0.24169396432311263,0.01526888167998351,-0.506208762526739,0.0033639918945531705,-0.24452228427164596,0.5272388276516157,0.2416939643231131,-0.24452228427164616,0.037725726075196364,-0.5962621768861376,0.015268881679983227,0.5272388276516158,-0.5962621768861374,0.02847970595139596
autocorrelation-robust,0.01254347208488377,-0.4849866111081465,0.1663326620151125,0.13955937928820847,-0.48498661110814645,0.0032706552866134516,-0.19417054116687743,0.4662327597808843,0.16633266201511274,-0.19417054116687746,0.03444288752597835,-0.5739566921710622,0.13955937928820808,0.46623275978088446,-0.5739566921710623,0.027454225845052627
sample-hessian,0.013467686600127194,-0.612319569301476,0.3358831762133606,-0.09378904307829988,-0.6123195693014765,0.0033695736310984468,-0.29942677791179284,0.559159573744333,0.33588317621336056,-0.2994267779117927,0.039889909232365996,-0.573210657785714,-0.09378904307829991,0.559159573744333,-0.573210657785714,0.027523004053754574
outer-product,0.013270579026476116,-0.5786321998332719,0.3182538168208092,-0.09619268643258044,-0.5786321998332715,0.0037976051084015238,-0.29102698595470516,0.5920668220192778,0.31825381682080917,-0.2910269859547051,0.04175813480901605,-0.5974506898151838,-0.09619268643258043,0.5920668220192778,-0.5974506898151839,0.02979465448072287
misspecification-robust,0.013697712359287028,-0.6541711440839082,0.35441154538971364,-0.09853479356682052,-0.6541711440839092,0.00302836495886451,-0.3115276522083631,0.5292115162505069,0.3544115453897134,-0.31152765220836254,0.03818420943517857,-0.5462290087511552,-0.09853479356682056,0.5292115162505069,-0.5462290087511551,0.025579865047360296
autocorrelation-robust,0.013479739367934868,-0.5849057636517966,0.280931207663171,0.038287614826828846,-0.5849057636517977,0.0029597455432065507,-0.3089335994893588,0.5354590960363087,0.28093120766317103,-0.30893359948935845,0.035306122448870304,-0.5258035466982175,0.03828761482682886,0.5354590960363085,-0.5258035466982174,0.02665257444485366
sample-hessian,0.013698717156539033,-0.4974962257665028,0.2738208167762353,0.09026188597204,-0.4974962257665022,0.0028732592304175518,-0.3065644874928573,0.5382649226798844,0.2738208167762349,-0.3065644874928571,0.04006471680514297,-0.555979363913112,0.09026188597204068,0.5382649226798839,-0.5559793639131118,0.028151569128262544
outer-product,0.014474605760285092,-0.5133224060970198,0.27271775359864786,0.054723422341120674,-0.5133224060970194,0.003123829723828877,-0.3767900890749074,0.6212932841951184,0.2727177535986475,-0.37679008907490735,0.04223336811928327,-0.5786151921238107,0.05472342234112096,0.6212932841951183,-0.5786151921238105,0.030907633858723752
misspecification-robust,0.012976350668027827,-0.47885911704881523,0.2762203710349764,0.12389373421778464,-0.4788591170488143,0.0026684064132108023,-0.22790498133174367,0.4375862155840365,0.2762203710349755,-0.22790498133174303,0.03820067411594292,-0.5373834877532767,0.12389373421778561,0.4375862155840357,-0.5373834877532764,0.025795384801873322
autocorrelation-robust,0.013668472840240461,-0.4339552323035748,0.26968740028957744,0.17672030319737078,-0.43395523230357386,0.0026663317164215693,-0.30329898472128086,0.46670325335117674,0.26968740028957655,-0.3032989847212804,0.04032052270996816,-0.5627695784282671,0.17672030319737206,0.4667032533511753,-0.5627695784282662,0.028448615192539984
sample-hessian,0.01274359430606479,-0.5855917907805519,0.2975098692370162,-0.03990233847601247,-0.5855917907805517,0.0031023500365088175,-0.26984781550812936,0.5231572498954347,0.29750986923701644,-0.26984781550812975,0.039319680508661733,-0.5640653563382134,-0.03990233847601255,0.5231572498954349,-0.5640653563382133,0.02661948020968985
outer-product,0.012652880028813592,-0.5974950590717887,0.33554124926905804,-0.08744183842861819,-0.5974950590717887,0.003329971799072652,-0.2659815049775948,0.532758984857364,0.3355412492690581,-0.26598150497759493,0.038742665762722284,-0.5510768255023124,-0.08744183842861811,0.532758984857364,-0.5510768255023124,0.026352164559244693
misspecification-robust,0.01287441597424889,-0.5759869888234602,0.2575864711100143,0.006803391433282636,-0.5759869888234598,0.002899010187631341,-0.2735063847380002,0.5142643799955989,0.25758647111001465,-0.27350638473800104,0.03994285611030634,-0.5775103836838474,0.0068033914332824574,0.5142643799955994,-0.5775103836838471,0.026947575856803737
autocorrelation-robust,0.012203798498201864,-0.5566416518399501,0.2893996464264285,-0.01894398539683601,-0.5566416518399496,0.002944523823726653,-0.2689563865497773,0.5427707937084656,0.28939964642642896,-0.2689563865497782,0.040191261040737204,-0.5612086231012401,-0.018943985396836168,0.5427707937084663,-0.5612086231012396,0.028046159875791843
sample-hessian,0.01235380919221665,-0.5607116891516991,0.2767449906404368,0.011548188804060987,-0.5607116891516993,0.0028681008500499408,-0.2561672562423869,0.4856769394619445,0.27674499064043684,-0.2561672562423868,0.038206883990225864,-0.5536160001486778,0.011548188804060807,0.4856769394619445,-0.553616000148678,0.02596124737865374
outer-product,0.012702738216134407,-0.6226433313969845,0.2851152094421087,0.043140467041042664,-0.6226433313969846,0.0026471666358147483,-0.18792823454533655,0.2987240514152109,0.2851152094421086,-0.18792823454533636,0.038354735929168,-0.5478819533732844,0.04314046704104263,0.29872405141521086,-0.5478819533732844,0.02317759562500616
misspecification-robust,0.01202538969367155,-0.49812613124362226,0.2674796361042225,-0.017719197363897425,-0.49812613124362287,0.0031918860232207375,-0.33270400557308516,0.6407155859488542,0.26747963610422265,-0.3327040055730848,0.03838769854464884,-0.5713588747120486,-0.01771919736389783,0.6407155859488542,-0.571358874712049,0.0297396777117264
autocorrelation-robust,0.012254052635277537,-0.5196177227607195,0.3415123705328076,-0.07800685766547714,-0.5196177227607204,0.0031693886134772785,-0.3632185533922934,0.6913303932581195,0.3415123705328078,-0.36321855339229325,0.037879127663239726,-0.5453181852826573,-0.07800685766547752,0.6913303932581195,-0.5453181852826574,0.02931468290519367
sample-hessian,0.012110295090638863,-0.5391858945182478,0.2740941523997001,0.010968318102038166,-0.5391858945182476,0.0027628261963106382,-0.30947614166711357,0.5533672129037631,0.2740941523996998,-0.3094761416671137,0.039340871800647985,-0.5594479502321191,0.01096831810203862,0.5533672129037629,-0.5594479502321187,0.026873997614466256
outer-product,0.01176376743155332,-0.536718783555663,0.25845559257818956,-0.012753929543360134,-0.5367187835556629,0.002929023686649135,-0.2904324069882487,0.5704099427626997,0.25845559257818956,-0.2904324069882487,0.037682428396918884,-0.5576299412225605,-0.012753929543359995,0.5704099427626996,-0.5576299412225605,0.026881980310913458
misspecification-robust,0.012488834591267914,-0.5459192420438265,0.29030107549459105,0.03126164432316947,-0.5459192420438259,0.0026147804179890155,-0.3313780234063389,0.5377603821393809,0.29030107549459033,-0.33137802340633893,0.04108827269460394,-0.5612439347097864,0.03126164432317047,0.5377603821393806,-0.5612439347097855,0.026924696557440057
autocorrelation-robust,0.012364038041334048,-0.5517180440434013,0.2614874661490891,0.052750922688012215,-0.5517180440434007,0.002512946546856321,-0.3283983742040564,0.4977834959573033,0.2614874661490883,-0.32839837420405643,0.03842468246535647,-0.5351641562295837,0.05275092268801321,0.49778349595730276,-0.5351641562295828,0.02446136338362338
