estimator,"a,a","a,t0","a,v","a,z","t0,a","t0,t0","t0,v","t0,z","v,a","v,t0","v,v","v,z","z,a","z,t0","z,v","z,z"
sample-hessian,0.014724145718236381,-0.5210495674915979,0.35776624165660154,-0.04732182247108639,-0.5210495674915973,0.004250096702802078,-0.542821476326893,0.7076229458737459,0.35776624165660104,-0.542821476326893,0.10537184389039604,-0.6842167938465681,-0.04732182247108558,0.7076229458737453,-0.6842167938465679,0.037676057846488815
outer-product,0.014974890591720367,-0.4789989853480144,0.2193230905030072,0.12859416344268837,-0.47899898534801433,0.0035826257124405188,-0.45669553782739064,0.6028418589701668,0.21932309050300722,-0.45669553782739075,0.10490142270237778,-0.6639012836695728,0.12859416344268831,0.6028418589701668,-0.6639012836695729,0.03582348264545293
misspecification-robust,0.014745651038133108,-0.5745664828162199,0.491670238985258,-0.2230448642590543,-0.5745664828162187,0.005049284619112985,-0.6260149105134535,0.7923967861922303,0.4916702389852568,-0.6260149105134531,0.10822381137171798,-0.7177880215932669,-0.22304486425905248,0.7923967861922292,-0.7177880215932667,0.0408326007429368
autocorrelation-robust,0.015611462327880323,-0.5904896881960153,0.5179858477001954,-0.23573204922524987,-0.5904896881960142,0.005004350653346177,-0.5651421512081474,0.7843809077972148,0.5179858477001947,-0.5651421512081479,0.1057034348575196,-0.6551257267706839,-0.23573204922524843,0.7843809077972145,-0.6551257267706834,0.039663348767260354
sample-hessian,0.01806282575464466,-0.6306191255185521,0.44533394245035884,-0.09933301754041338,-0.6306191255185515,0.004855410352572248,-0.5433904347936344,0.6528319629228939,0.4453339424503588,-0.5433904347936348,0.1076650760700088,-0.6688154282357264,-0.09933301754041304,0.6528319629228939,-0.6688154282357262,0.035936122154127136
outer-product,0.017691627773752865,-0.538140967398664,0.35724758659431916,-0.033897408881518105,-0.538140967398664,0.005312449219557766,-0.5753990754794008,0.717306692153837,0.3572475865943191,-0.5753990754794007,0.1185511445647538,-0.7159867496845297,-0.03389740888151808,0.7173066921538369,-0.7159867496845298,0.04300545357776873
misspecification-robust,0.018464592899834938,-0.7086296905579553,0.5254003264704848,-0.1676494207508186,-0.7086296905579537,0.004533658978266622,-0.5274536625026262,0.5898171125156955,0.5254003264704847,-0.5274536625026273,0.09954551937029997,-0.6263158962047196,-0.16764942075081793,0.589817112515696,-0.6263158962047192,0.030382689557863624
autocorrelation-robust,0.01864383641621649,-0.710141804916449,0.5906270503078487,-0.1755518512054171,-0.7101418049164481,0.004812332566903571,-0.624190211057719,0.6430293865007756,0.5906270503078487,-0.6241902110577198,0.10448028928784947,-0.6519603283949046,-0.17555185120541658,0.6430293865007753,-0.6519603283949039,0.03361454808795217
sample-hessian,0.017623934411259052,-0.6545461290347114,0.45294566764749433,-0.12433694099339435,-0.6545461290347115,0.004788874134204857,-0.5372363474050221,0.649303244963146,0.4529456676474946,-0.5372363474050221,0.10737495880286951,-0.6642000305738761,-0.12433694099339461,0.649303244963146,-0.6642000305738764,0.03516804955027361
outer-product,0.018630658135130585,-0.7150081654053623,0.47838922293232394,-0.19781867167570938,-0.7150081654053626,0.005624986149474014,-0.5174198601296186,0.6263960514811755,0.47838922293232433,-0.5174198601296189,0.11521985420945101,-0.6867450474390361,-0.19781867167570988,0.6263960514811758,-0.6867450474390362,0.034512271653039925
