,a,a+,a-,beta_v,beta_v+,beta_v-,t0,t0+,t0-,z,z+,z-
520,0.957194634899023,0.9993879905329789,0.9150012792650671,1.302307059154437,1.4426028177199681,1.162011300588906,0.4234939263193573,0.44009398211276357,0.406893870525951,0.21300384634713287,0.25595689508300795,0.1700507976112578
540,0.9407339194940466,0.9847247886501355,0.8967430503379578,1.3299119509606532,1.465332991594383,1.1944909103269234,0.4443521251785943,0.45897724369260146,0.42972700666458713,0.2306841017237872,0.2682676392064527,0.1931005642411217
560,0.9492452383673,0.9899026065426854,0.9085878701919147,1.1719020368100705,1.3109395013855507,1.0328645722345904,0.4069875908168304,0.4267599384789683,0.38721524315469247,0.187079763974434,0.2319302851851945,0.14222924276367346
580,0.9280192668393851,0.9743222293961581,0.881716304282612,1.2689049878892233,1.4109865248371845,1.1268234509412622,0.4186256113667267,0.440983076184702,0.3962681465487514,0.16777713913156403,0.22621930406856514,0.10933497419456292
600,0.9475490571366331,1.0010915858250915,0.8940065284481746,1.3252933281535806,1.4783194222811398,1.1722672340260214,0.4248827218895538,0.4379967888985218,0.4117686548805858,0.23396320225287745,0.28390005945210733,0.1840263450536476
620,0.9191420813546074,0.9670613898127143,0.8712227728965005,1.2713292443509656,1.4411101743666868,1.1015483143352445,0.4144655980043357,0.45149058327264907,0.3774406127360223,0.17651421036664966,0.22128096816512816,0.13174745256817116
640,0.8863913305411172,0.932900739183712,0.8398819218985224,1.1610640505222405,1.3154750898918939,1.006653011152587,0.4330472313294863,0.4519991273784296,0.414095335280543,0.18106328888079068,0.22884897857649683,0.13327759918508453
660,0.9407098904090123,1.0070080472525222,0.8744117335655025,1.1960385801964042,1.3525927644162723,1.039484395976536,0.40834254432195427,0.42716972467625125,0.3895153639676573,0.1711403740154447,0.23360969507245846,0.10867105295843096
680,0.9515933362966424,1.0132570536864471,0.8899296189068379,1.143311816099181,1.304764259413939,0.9818593727844231,0.4328537270108407,0.4549963194965992,0.4107111345250822,0.17789886228201654,0.23650320681905262,0.11929451774498047
700,0.8848175461146296,0.9367886872020366,0.8328464050272226,1.1269462068407063,1.2881397245594615,0.9657526891219512,0.45475672243361065,0.4784644098278839,0.4310490350393374,0.1577526239594529,0.24275894356387379,0.072746304355032
720,0.8726703265654872,0.9340482310453411,0.8112924220856332,1.160510739104777,1.3775816975906705,0.9434397806188837,0.4331448706976015,0.4576806379351753,0.40860910346002766,0.28101522031206694,0.34918099527218227,0.21284944535195163
