,n,method,estimate,param,runtime,bias,sd,rmse
40,5000,mcmc,param,a,387.83586238861085,0.0008400000000000008,0.007142436559046225,0.007191661838546091
41,5000,mcmc,param,t0,387.83586238861085,-0.00030000000000000024,0.0016217274740226875,0.0016492422502470659
42,5000,mcmc,param,v,387.83586238861085,0.055210000000000065,0.04260100820403198,0.06973514178662006
43,5000,mcmc,param,z,387.83586238861085,-0.008520000000000007,0.012889127200861982,0.015450566332662386
44,5000,mcmc,unc,a,387.83586238861085,-0.0005624365590462241,0.0004935585071701228,0.0007482879679319704
45,5000,mcmc,unc,t0,387.83586238861085,0.0003782725259773121,1.3010426069826053e-18,0.0003782725259773125
46,5000,mcmc,unc,v,387.83586238861085,0.0023389917959680236,0.0011646458689232538,0.002612906929380702
47,5000,mcmc,unc,z,387.83586238861085,0.0014108727991380189,0.0007141428428542857,0.0015813165576024136
48,10000,mle,param,a,125.018438808918,-0.00011716557931081727,0.004237119869465541,0.004238739501454992
49,10000,mle,param,t0,125.018438808918,7.285426926879501e-05,0.001337986541144325,0.0013399685551661448
50,10000,mle,param,v,125.018438808918,-0.00044931657232950785,0.030508542824165624,0.030511851314466605
51,10000,mle,param,z,125.018438808918,-1.7616126296546072e-05,0.009622998097065717,0.009623014221336062
52,10000,mle,unc,a,125.018438808918,0.00025681879680711727,7.23944630063392e-05,0.0002668273836536115
53,10000,mle,unc,t0,125.018438808918,-0.00018639456846925224,2.850930759358346e-05,0.0001885622331600481
54,10000,mle,unc,v,125.018438808918,-0.0004071099924534632,0.00023266955770785938,0.0004689068873874959
55,10000,mle,unc,z,125.018438808918,0.00021535132654216323,0.00011195462624180893,0.0002427138895498412
56,10000,mcmc,param,a,907.6609103274345,8.000000000000007e-05,0.004412890209375259,0.004413615298142787
57,10000,mcmc,param,t0,907.6609103274345,-0.0002500000000000002,0.0014168627315304767,0.0014387494569938172
58,10000,mcmc,param,v,907.6609103274345,0.05562000000000003,0.030950211630940423,0.06365139432879693
59,10000,mcmc,param,z,907.6609103274345,-0.008680000000000007,0.009588409670013068,0.012933676971379803
60,10000,mcmc,unc,a,907.6609103274345,0.0004371097906247413,0.00035707142142714235,0.0005644155995895265
61,10000,mcmc,unc,t0,907.6609103274345,-0.000416862731530477,6.505213034913027e-19,0.00041686273153047725
62,10000,mcmc,unc,v,907.6609103274345,0.0008197883690595784,0.000785557127139714,0.0011354087237842427
63,10000,mcmc,unc,z,907.6609103274345,0.0004315903299869306,0.00019899748742132348,0.0004752580487884757
