estimator,"a,a","a,t0","a,v","a,z","t0,a","t0,t0","t0,v","t0,z","v,a","v,t0","v,v","v,z","z,a","z,t0","z,v","z,z"
outer-product,0.0142386092344972,-0.5562918444909025,0.3203745659747537,-0.042402819494948694,-0.556291844490903,0.004008945156275181,-0.49187465043322964,0.6595071743034944,0.3203745659747536,-0.49187465043322964,0.09590594753924081,-0.6648476668937215,-0.042402819494948445,0.6595071743034943,-0.6648476668937215,0.033230231072956445
misspecification-robust,0.013761691244678662,-0.5732902907129156,0.3650110868015282,-0.01764787803452281,-0.5732902907129156,0.003354034370840205,-0.44824478988999683,0.5757350072116396,0.36501108680152794,-0.44824478988999683,0.0902919188277016,-0.6130989218573382,-0.017647878034523404,0.5757350072116407,-0.6130989218573385,0.029010628277181507
autocorrelation-robust,0.01427921750396282,-0.577737817127947,0.37119156667160297,0.02860380465864349,-0.5777378171279471,0.0032312192426540835,-0.4523592906135858,0.5147615566476011,0.37119156667160264,-0.4523592906135853,0.09151674672274372,-0.5917692475976104,0.028603804658643133,0.5147615566476011,-0.5917692475976105,0.028208598294235675
sample-hessian,0.015903758084017467,-0.5586607827912851,0.37845361986038895,0.0013686437640691399,-0.5586607827912842,0.0038947922718194773,-0.5007679150460586,0.6247837144982334,0.37845361986038834,-0.5007679150460586,0.10176918148567575,-0.6466238924190437,0.00136864376407029,0.6247837144982327,-0.6466238924190434,0.03404862451411893
outer-product,0.016028535281135122,-0.4262862845361754,0.2599750385894434,0.1309097766647677,-0.4262862845361753,0.003954477880560226,-0.5321653890100768,0.6969680007100791,0.25997503858944354,-0.5321653890100768,0.0970858134828765,-0.6501133550381892,0.13090977666476775,0.6969680007100791,-0.6501133550381891,0.039949730653238105
misspecification-robust,0.016013648935314692,-0.6599541826715914,0.47402393286909345,-0.1327514893474774,-0.6599541826715899,0.003956662238435119,-0.4834187500260125,0.5593917217531782,0.47402393286909245,-0.4834187500260127,0.10818457306181845,-0.6705124055652052,-0.13275148934747535,0.5593917217531765,-0.670512405565204,0.029604960748369852
autocorrelation-robust,0.016681994852680813,-0.6707607144197865,0.5267324872710936,-0.1872152177458697,-0.6707607144197851,0.0038435285178051635,-0.4919505925346128,0.5554301438030081,0.5267324872710927,-0.491950592534613,0.11587620367681503,-0.6960124040802872,-0.18721521774586775,0.5554301438030069,-0.6960124040802863,0.030509054226778024
sample-hessian,0.013079013641742255,-0.5660828272733407,0.33675458798774327,-0.040056996155625586,-0.5660828272733407,0.0033715697182023618,-0.45973236527071576,0.6164008031851544,0.3367545879877432,-0.45973236527071554,0.09508286773904086,-0.6388070569273346,-0.04005699615562513,0.6164008031851539,-0.6388070569273346,0.03055611770047487
outer-product,0.01337757902872514,-0.6030140938685139,0.41472114659242215,-0.16605456464570825,-0.6030140938685137,0.004063419535923627,-0.5348988697247372,0.7078543904752195,0.41472114659242204,-0.5348988697247373,0.09839461432931795,-0.6727036944113935,-0.16605456464570792,0.7078543904752194,-0.6727036944113934,0.03362748536151419
misspecification-robust,0.012943828662353942,-0.543717203492232,0.26740715296310574,0.07284607056123804,-0.543717203492232,0.0028066935763167867,-0.3888234895362329,0.5121840968529868,0.26740715296310574,-0.38882348953623247,0.09314031128970786,-0.6140477722513753,0.0728460705612391,0.5121840968529854,-0.6140477722513751,0.028360232318574204
