a,t0,beta_v,z
0.6534381878285089,0.4322951623237974,1.014235681040148,0.05055616010533616
0.6318702117547914,0.43593570574203494,0.9964450661916473,0.02339393877674214
0.6477830806970505,0.432393833558817,1.0302052855511228,0.009181557296229183
0.6162437003158993,0.43725833505974115,0.9211070750930352,0.025354518918456782
0.6355570120556852,0.4343471823889817,0.9765328559530293,0.026176673895898554
0.614743331529113,0.4366479730651248,0.9285317350137978,0.02864386708639372
0.6163395660236655,0.435126423049731,1.0114527635399866,-0.010942896180743228
0.6565703858745483,0.4335599947596699,1.0202222591367631,0.013374054688985627
0.6216866703216569,0.4331007549623894,1.0089268697791447,-0.04393305580438746
0.6274690261073973,0.4334954522056335,0.9614977360823698,-0.006385671356079979
0.6334374804901876,0.43315345654246035,0.9982055608044179,-0.020383866922196632
0.6002913286296184,0.443989750596171,0.9416010807369776,0.04511014546134612
0.5914124661696456,0.44409067221966064,0.9804282273101977,0.03573472072559082
0.632714993215688,0.4340988383647753,1.0093564741324816,0.0014711935822126025
0.6347125937988884,0.4341698609084907,0.9727698757118123,0.02192283186561943
0.6081739205466395,0.43443138348325555,1.002555939712724,-0.036665915922160654
0.6298884285196644,0.43363821983941025,1.0463517772537079,-0.03668001447538883
0.6280424014461549,0.43427464175600106,1.0215399327186094,-0.01536537236352206
0.643984036063501,0.4312376837415792,0.9811763845397454,0.02320531797846231
0.6248226547353198,0.4334873335761919,1.035415186933091,-0.050822110796785155
0.6297358513425261,0.4349435231072299,0.9604069926507626,0.013227126497904602
0.6350256747206753,0.43796531720987913,0.9740399664620146,0.020120846914640056
0.6312027890699762,0.43603264312249607,0.9220687370755698,0.048751850087722357
0.6188446924573794,0.4407022966029628,1.0041986028054042,0.04446130372759181
0.6224927056956099,0.4325932614851429,0.9821544159662611,0.01606684413782145
0.6243465090098776,0.44034816827264295,0.9709959367098256,0.06081299490396609
0.6209607869956792,0.4388381626446966,0.946941596354465,0.044490275727420335
0.6284360782942451,0.43462696894300284,0.9819955506143127,-0.006366148446237095
0.6116307874117611,0.4398035183310376,0.9557608082185458,0.03040356459738123
0.6366804927799307,0.4348796556756956,0.9954970324703255,0.012803701495715726
0.6140006714792107,0.4373933632478498,1.036554521481767,-0.02308972974181978
0.6375547706483753,0.43740116261257556,1.0570594678920127,0.0058110578895327605
0.6433393759061401,0.43167150457713194,1.0279918205911165,-0.0034808472944486265
0.6248699961308872,0.4351658195551,0.9912648324211812,-0.008139662474144146
0.6427987165487458,0.4363489238512589,1.054646202747801,0.0070920849658601915
0.6296713523913788,0.4321899673809951,0.9707099725486468,9.342627869227501e-05
0.6315966119498616,0.4332473059997861,0.9277920408206249,0.03989927075693684
0.62690422575936,0.43835562138751727,0.9863758083751237,0.05335463550715741
0.6610748603939975,0.4312698005596065,1.0669426273159408,-0.010183948270047974
0.6518895580936218,0.4320212601223619,1.0257238148604928,0.012895069105907635
0.6305551218189476,0.431805892934793,1.0061849299952699,-0.015253176662828634
0.6172560695044362,0.4362071887178489,0.9605987632857886,0.01118739030578257
0.6225782372578043,0.437686099013454,0.9459877720323441,0.03185247700339215
0.6256340332457713,0.4370216647365254,0.9413282785653286,0.06650126529595694
0.6206526084247929,0.4326520446317372,0.9999561530754008,-0.018933589651802703
0.6018005351536401,0.43787926888550477,1.0158229306949333,-0.006550643311060334
